ticker
AAPL
ABNB
ADBE
ADI
ADP
ADSK
AEP
AMAT
AMGN
AMZN

APP
ARM
ASML
AVGO
AXON
AZN
BIIB
BKNG
BKR
CCEP
CDNS
CDW
CEG
CHTR
CMCSA
COST
CPRT
CRWD
CSCO
CSGP
CTAS
CTSH
DASH
DDOG
DLTR
DXCM
EA
EXC
FANG
FAST
FTNT
GEHC
GILD
GOOG
GOOGL
GFS
HON
IDXX
ILMN
INTC
INTU
ISRG
KDP
KHC
KLAC
LIN
LRCX
LULU
MAR
MCHP
MDB
MDLZ
MELI
META
MNST
MRVL
MSFT
MU
NFLX
NVDA
NXPI
ODFL
ON
ORLY
PANW
PAYX
PCAR
PDD
PEP
PLTR
PYPL
QCOM
REGN
ROP
ROST
SBUX
SMCI
SNPS
TEAM
TMUS
TSLA
TTD
TTWO
TXN
VRSK
VRTX
WBD
WDAY
XEL
ZS
